item_id,item_text
item_001,Maria placed one plant in sunlight and another in the shade. She measured their heights for two weeks. Which plant would she expect to grow more quickly?
item_002,"Mr. Chen asked his students to compare solids, liquids, and gases. He showed them a beaker of water and a balloon filled with air. What property of matter was he demonstrating?"
item_003,A girl used a magnet to separate iron filings from sand. What property of iron allowed her to do this?
item_004,The mother boiled water in a pot while her son watched the steam rise. What change of state occurred when the water became steam?
item_005,Jamal observed that a puddle disappeared after a warm afternoon. He wrote that evaporation had taken place. What evidence supports his conclusion?
item_006,The teacher gave Ana and Leo two thermometers. They placed one in ice water and the other in hot water. Which thermometer should show the higher temperature?
item_007,A farmer noticed that worms were most active after rain. She told her daughter that moist soil helps earthworms survive. Why do earthworms need moisture?
item_008,"During a field trip, Mrs. Rivera asked the class to identify producers in a pond ecosystem. She pointed to the algae near the surface. Why are algae considered producers?"
item_009,Kevin pushed a toy car across the floor. His sister pushed the same car with greater force. How did the greater force affect the car’s motion?
item_010,A scientist examined two rocks with a hand lens. He said one rock had visible layers formed by pressure over time. Which type of rock was he describing?
item_011,The nurse explained that lungs take in oxygen and release carbon dioxide. Why is oxygen important to the human body?
item_012,"Sofia planted bean seeds in three cups. She watered one cup daily, one every three days, and one not at all. Which variable did she change in her investigation?"
item_013,The father used a flashlight and a globe to show his daughter how day and night occur on Earth. What causes day and night?
item_014,Ms. Patel asked the class why ice floats in liquid water. Which property of ice explains this phenomenon?
item_015,"A boy placed a metal spoon in hot soup. After a few minutes, the handle felt warm. What process transferred thermal energy to the handle?"
item_016,"Two students observed a caterpillar form a chrysalis. Later, they saw a butterfly emerge. Which stage of the life cycle occurred between larva and adult?"
item_017,Dr. Lopez reminded her class that some inherited traits come from both parents. Which trait is most likely inherited rather than learned?
item_018,A child rubbed a balloon on his shirt and stuck it to the wall. What force caused the balloon to cling to the wall?
item_019,"When Mei mixed vinegar and baking soda, bubbles formed in the cup. What evidence suggests that a chemical change occurred?"
item_020,The teacher asked her students to record the moon’s shape each night for a month. What pattern were they most likely studying?
item_021,Rosa’s grandmother said that plants bend toward sunlight on the windowsill. What stimulus caused the plants to bend?
item_022,A meteorologist told the students that warm air rises and cool air sinks. How does this movement affect weather?
item_023,Ben and his cousin tested which paper towel absorbed the most water. They poured the same amount of water on each brand. Why was using the same amount of water important?
item_024,Mrs. Green showed her class a diagram of the water cycle. She asked which process returns water vapor to liquid droplets in clouds. What is that process called?
item_025,"A zookeeper explained that penguins have feathers, even though they do not fly. Which characteristic shows that penguins are birds?"
item_026,"Nora used a balance to compare the masses of two blocks. One block was larger, but both had the same mass. What does this tell her?"
item_027,A boy looked at tree rings in a stump. His teacher asked what the rings could reveal about the tree. What can tree rings show?
item_028,The pharmacist explained that vaccines help the body recognize harmful germs. How do vaccines support the immune system?
item_029,"During an experiment, Elijah placed one battery in a circuit and then added a second battery. How would the second battery most likely affect the bulb?"
item_030,A geologist said that fossils are usually found in sedimentary rock. Why are fossils less common in igneous rock?
item_031,Lucy and her brother built ramps with different heights. They rolled the same marble down each ramp. Which ramp would most likely make the marble move fastest?
item_032,Ms. Kim asked why desert plants often have thick stems. How does a thick stem help a desert plant survive?
item_033,A veterinarian told the class that mammals feed milk to their young. Which animal below is a mammal?
item_034,Arjun measured the shadow of a stick at noon and again in the late afternoon. Why did the shadow length change?
item_035,The teacher asked Hannah to compare a food chain and a food web. How is a food web different from a food chain?
item_036,"Two children observed that sugar disappeared when stirred into warm water. Did the sugar vanish, or did it dissolve?"
item_037,A park ranger explained that beavers change streams by building dams. How can this affect other organisms in the habitat?
item_038,Mr. Diaz reminded his students to wear goggles during the lab. Why are goggles important in science investigations?
item_039,A girl listened as her doctor explained that bones support and protect the body. Which body system includes the bones?
item_040,"During a storm, the power went out after lightning struck nearby. What form of energy is carried by lightning?"
item_041,A student used a ruler to measure the length of a leaf in centimeters. Why is a ruler a better tool than a balance for this task?
item_042,Keisha’s father said that sound travels through air as vibrations. Why can people hear thunder after lightning flashes?
item_043,"The class compared a mushroom, a fern, and a pine tree. Which organism is not a plant?"
item_044,A chemist heated a solid until it melted. What happened to the particles in the substance as it changed to a liquid?
item_045,Mrs. Allen asked the students why the inside of a parked car becomes hot on a sunny day. Which process best explains this?
item_046,Carlos observed that some animals hibernate in winter. How does hibernation help those animals survive?
item_047,"A teacher placed a coin, a leaf, and a feather on a table. She asked which object would most likely have the least mass. Which one should the students choose?"
item_048,"Priya mixed red, blue, and yellow paints to test color combinations. What type of investigation was she conducting?"
item_049,"A doctor told a patient that the heart pumps blood through the body. Which system carries blood, oxygen, and nutrients?"
item_050,Ms. Owens asked why astronauts appear to float in space. What is the main reason objects seem weightless in orbit?
item_051,A student noticed that iron nails rusted after being left outside in the rain. What substances were needed for rust to form?
item_052,"The father and his daughter compared the seeds of an apple, a bean, and a sunflower. What is the main function of a seed?"
item_053,A marine biologist explained that coral reefs support many kinds of organisms. Why is biodiversity important in an ecosystem?
item_054,"Ethan placed a glass of ice water outside on a humid day. Later, droplets formed on the outside of the glass. Where did the droplets come from?"
item_055,The teacher asked which planet is known for its rings. Which planet should the students identify?
item_056,"A girl tested whether plants grew better in sand, clay, or potting soil. What was the dependent variable in her investigation?"
item_057,Dr. Hassan explained that the intestines absorb nutrients from digested food. Which body system includes the intestines?
item_058,Two classmates used mirrors to reflect sunlight onto a wall. How did the mirrors affect the path of light?
item_059,A woman hiking in the mountains noticed that the air felt cooler as she climbed higher. Why does temperature often decrease with altitude?
item_060,The teacher showed the class a closed circuit and an open circuit. Why does a bulb light in one but not the other?
item_061,Ava and her cousin compared the shells of a turtle and a snail. Why are these structures considered adaptations?
item_062,A science fair judge asked Malik why he repeated his experiment three times. Why are repeated trials important?
item_063,The class observed that yeast made bread dough rise. What gas did the yeast most likely produce?
item_064,A mother told her children that washing hands helps prevent disease. How does handwashing reduce the spread of germs?
item_065,The students compared renewable and nonrenewable resources. Which energy source is renewable?
item_066,Mr. Brown asked why the Arctic has long periods of daylight in summer. What causes this seasonal pattern?
item_067,A boy dropped a pebble and a crumpled paper ball at the same time. Why did they not reach the ground in exactly the same way?
item_068,The teacher explained that blood carries oxygen to cells. Which structure in the blood is mainly responsible for carrying oxygen?
item_069,"A scientist examined the petals, stamens, and pistil of a flower. What part of plant life was she studying?"
item_070,Lily noticed that mold grew faster on bread kept in a warm place than on bread kept in a cool place. Which condition changed in her test?
item_071,The father showed his son how to use a compass during a camping trip. What does a compass needle point toward?
item_072,Ms. Torres asked her class to identify an example of an omnivore. Which animal eats both plants and animals?
item_073,A dentist explained that enamel protects the outer surface of teeth. Why is enamel important?
item_074,Two girls used a stopwatch to measure how long it took a pendulum to swing ten times. What tool would best measure the pendulum’s length?
item_075,"During a lesson on erosion, the teacher poured water over bare soil and soil covered with grass. Why did the grass reduce erosion?"
item_076,A student used a microscope to observe onion cells. Why was a microscope necessary?
item_077,The coach reminded the team to drink water after practice. Why is water important for the body during exercise?
item_078,A physicist described friction as a force that opposes motion. How does friction affect a sliding book?
item_079,The class learned that whales breathe air but live in water. Why are whales not classified as fish?
item_080,Emma placed one ice cube in fresh water and another in salt water. She wanted to compare how quickly they melted. What was her question investigating?
item_081,A researcher recorded the number of birds visiting a feeder each morning. What type of data was the researcher collecting?
item_082,Mrs. Singh explained that roots anchor plants and absorb water. Which plant structure carries water from roots to leaves?
item_083,A boy noticed that his shadow was shortest around midday. Where was the Sun in the sky at that time?
item_084,The doctor said muscles work with bones to move the body. Which two body systems work together in this way?
item_085,"A student mixed sand and water, then poured the mixture through filter paper. What was the main purpose of filtration in this investigation?"
item_086,The class discussed how earthquakes happen when rocks suddenly shift along faults. What causes most earthquakes?
item_087,A girl used a model lung made of a bottle and balloons. What body process was the model designed to show?
item_088,The teacher asked why some substances conduct electricity better than others. Which material is most likely a good electrical conductor?
item_089,Noah and his sister watched a robin build a nest in spring. Why do many birds build nests before laying eggs?
item_090,An environmental scientist explained that plastic waste can harm ocean animals. Why is reducing plastic pollution important?
item_091,The students observed that the temperature of water rose more slowly in a large pot than in a small cup. How can the amount of water affect heating?
item_092,A boy compared the brightness of a bulb in circuits with one bulb and two bulbs. What changed in the second circuit?
item_093,Ms. Walker asked which organ removes wastes from the blood. Which organ should the students name?
item_094,A teacher explained that chlorophyll helps plants capture light energy. In which organelle does photosynthesis occur?
item_095,A child tested whether seeds sprouted faster in darkness or light. What would be the best control in this investigation?
item_096,A paleontologist found a fossil shell on top of a mountain. What does this suggest about the area long ago?
item_097,The nurse told the students that viruses are smaller than bacteria and must use host cells to reproduce. How are viruses different from most living cells?
item_098,A class compared the life cycles of frogs and butterflies. How are their life cycles similar?
item_099,The father helped his children build a simple machine using a wheel and axle. What does this machine make easier to do?
item_100,Dr. Nguyen asked her students to explain why a closed bottle of soda fizzes when opened. Why does gas escape more quickly after the bottle is opened?
