item_id,entity_id,canonical_mention,mention_ids,entity_type,gender,gender_confidence,gender_evidence_chain
item_001,E1,Maria,"[""M1"", ""M2"", ""M3""]",person,F,0.99,"[""Proper name 'Maria' strongly associated with female gender"", ""Pronouns 'She' and 'she' indicate female gender""]"
item_002,E1,Mr. Chen,"[""M1"", ""M2"", ""M4"", ""M6""]",person,M,0.99,"[""Title 'Mr.' in 'Mr. Chen' indicates male."", ""Pronouns 'He' and 'he' refer to the same entity."", ""Possessive pronoun 'his' refers to the same entity.""]"
item_002,E2,students,"[""M3"", ""M5""]",person,N,0.72,"[""'students' denotes a plural group of people with no explicit gender marking."", ""Pronoun 'them' refers to the same plural group; no male/female evidence is given.""]"
item_003,E1,A girl,"[""M1"", ""M2""]",person,F,0.99,"[""girl"", ""her""]"
item_004,E1,mother,"[""M1"", ""M2""]",person,F,0.99,"[""kinship term 'mother' indicates female"", ""pronoun 'her' corefers with mother and is female-coded""]"
item_004,E2,son,"[""M3""]",person,M,0.99,"[""kinship term 'son' indicates male""]"
item_005,E1,Jamal,"[""M1"", ""M2"", ""M3""]",person,M,0.99,"[""Pronoun 'He' refers to the same individual as 'Jamal' and indicates male gender."", ""Possessive pronoun 'his' refers to the same individual and indicates male gender."", ""Proper name 'Jamal' is also male-coded, consistent with pronoun evidence.""]"
item_006,E1,The teacher,"[""M1""]",person,unknown,0.0,[]
item_006,E2,Ana,"[""M2""]",person,F,0.78,"[""Proper name 'Ana' is strongly associated with female gender.""]"
item_006,E3,Leo,"[""M3""]",person,M,0.72,"[""Proper name 'Leo' is strongly associated with male gender.""]"
item_006,E4,They,"[""M4""]",person,N,0.62,"[""Plural pronoun 'They' refers to a group of people; gender treated as neutral/plural.""]"
item_007,E1,A farmer,"[""M1"", ""M2""]",person,F,0.98,"[""Pronoun 'She' coreferring with 'A farmer' indicates female.""]"
item_007,E2,her daughter,"[""M3""]",person,F,0.99,"[""Kinship term 'daughter' indicates female.""]"
item_008,E1,Mrs. Rivera,"[""M1"", ""M3""]",person,F,0.99,"[""Title 'Mrs.' in 'Mrs. Rivera' indicates female"", ""Pronoun 'She' indicates female""]"
item_008,E2,the class,"[""M2""]",person,N,0.86,"[""Group reference 'the class' denotes multiple people; no gender-specific evidence""]"
item_009,E1,Kevin,"[""M1"", ""M2""]",person,M,0.96,"[""Proper name Kevin is commonly male-coded."", ""Pronoun His explicitly marks male referent.""]"
item_009,E2,sister,"[""M3""]",person,F,0.99,"[""Kinship term sister explicitly marks female referent.""]"
item_010,E1,A scientist,"[""M1"", ""M2"", ""M3""]",person,M,0.99,"[""Pronouns 'He' and 'he' refer to the scientist and indicate male gender.""]"
