item_id,mention_id,entity_id,gender,mention_reliability,gender_confidence,gender_evidence_chain,item_text,mention_text,start,end,mention_type,namedness,kinship,grammatical_role,dep_pos,root,root_pos,agency,authority,generic_he,conj,verb_negation,number,personhood_confidence,coref_confidence,gender_evidence_local
item_001,M1,E1,F,1.0,0.99,"[""Proper name 'Maria' strongly associated with female gender"", ""Pronouns 'She' and 'she' indicate female gender""]",Maria placed one plant in sunlight and another in the shade. She measured their heights for two weeks. Which plant would she expect to grow more quickly?,Maria,0,5,proper,1,0,subject,nsubj,placed,VERB,high,none,0,none,0,singular,1.0,1.0,"[""Proper name 'Maria' strongly associated with female gender""]"
item_001,M2,E1,F,0.99,0.99,"[""Proper name 'Maria' strongly associated with female gender"", ""Pronouns 'She' and 'she' indicate female gender""]",Maria placed one plant in sunlight and another in the shade. She measured their heights for two weeks. Which plant would she expect to grow more quickly?,She,61,64,pronoun,0,0,subject,nsubj,measured,VERB,high,none,0,none,0,singular,0.99,0.99,"[""Pronoun 'She' indicates female gender""]"
item_001,M3,E1,F,0.98,0.99,"[""Proper name 'Maria' strongly associated with female gender"", ""Pronouns 'She' and 'she' indicate female gender""]",Maria placed one plant in sunlight and another in the shade. She measured their heights for two weeks. Which plant would she expect to grow more quickly?,she,121,124,pronoun,0,0,subject,nsubj,expect,VERB,medium,none,0,none,0,singular,0.99,0.98,"[""Pronoun 'she' indicates female gender""]"
item_002,M1,E1,M,0.99,0.99,"[""Title 'Mr.' in 'Mr. Chen' indicates male."", ""Pronouns 'He' and 'he' refer to the same entity."", ""Possessive pronoun 'his' refers to the same entity.""]","Mr. Chen asked his students to compare solids, liquids, and gases. He showed them a beaker of water and a balloon filled with air. What property of matter was he demonstrating?",Mr. Chen,0,8,proper,1,0,subject,nsubj,asked,VERB,high,high,0,none,0,singular,1.0,0.99,"[""Title 'Mr.' indicates male.""]"
item_002,M2,E1,M,0.98,0.99,"[""Title 'Mr.' in 'Mr. Chen' indicates male."", ""Pronouns 'He' and 'he' refer to the same entity."", ""Possessive pronoun 'his' refers to the same entity.""]","Mr. Chen asked his students to compare solids, liquids, and gases. He showed them a beaker of water and a balloon filled with air. What property of matter was he demonstrating?",his,15,18,pronoun,0,0,possessive,poss,students,NOUN,none,none,0,none,0,singular,0.95,0.98,"[""Possessive pronoun 'his' refers to Mr. Chen and supports male gender.""]"
item_002,M3,E2,N,0.97,0.72,"[""'students' denotes a plural group of people with no explicit gender marking."", ""Pronoun 'them' refers to the same plural group; no male/female evidence is given.""]","Mr. Chen asked his students to compare solids, liquids, and gases. He showed them a beaker of water and a balloon filled with air. What property of matter was he demonstrating?",students,19,27,group,0,0,object,dobj,asked,VERB,medium,low,0,none,0,plural,0.98,0.97,[]
item_002,M4,E1,M,0.99,0.99,"[""Title 'Mr.' in 'Mr. Chen' indicates male."", ""Pronouns 'He' and 'he' refer to the same entity."", ""Possessive pronoun 'his' refers to the same entity.""]","Mr. Chen asked his students to compare solids, liquids, and gases. He showed them a beaker of water and a balloon filled with air. What property of matter was he demonstrating?",He,67,69,pronoun,0,0,subject,nsubj,showed,VERB,high,high,0,none,0,singular,0.95,0.99,"[""Pronoun 'He' refers to Mr. Chen and supports male gender.""]"
item_002,M5,E2,N,0.96,0.72,"[""'students' denotes a plural group of people with no explicit gender marking."", ""Pronoun 'them' refers to the same plural group; no male/female evidence is given.""]","Mr. Chen asked his students to compare solids, liquids, and gases. He showed them a beaker of water and a balloon filled with air. What property of matter was he demonstrating?",them,77,81,pronoun,0,0,object,dobj,showed,VERB,low,none,0,none,0,plural,0.9,0.96,[]
item_002,M6,E1,M,0.98,0.99,"[""Title 'Mr.' in 'Mr. Chen' indicates male."", ""Pronouns 'He' and 'he' refer to the same entity."", ""Possessive pronoun 'his' refers to the same entity.""]","Mr. Chen asked his students to compare solids, liquids, and gases. He showed them a beaker of water and a balloon filled with air. What property of matter was he demonstrating?",he,159,161,pronoun,0,0,subject,nsubj,demonstrating,VERB,high,high,0,none,0,singular,0.95,0.98,"[""Pronoun 'he' refers to Mr. Chen and supports male gender.""]"
item_003,M1,E1,F,0.95,0.99,"[""girl"", ""her""]",A girl used a magnet to separate iron filings from sand. What property of iron allowed her to do this?,A girl,0,6,common_noun,0,0,subject,nsubj,used,VERB,high,none,0,none,0,singular,0.99,0.95,"[""girl""]"
